500
235
1,352
2,251
3,243
4,311
5,312
6,231
7,416
8,166
9,384
10,330
11,89
12,316
13,394
14,57
15,177
16,341
17,149
18,199
19,310
20,421
21,459
22,189
23,308
25,46
26,460
27,63
28,34
29,295
30,412
31,49
32,247
33,326
35,429
36,211
37,104
38,376
39,263
40,187
41,500
42,161
43,407
44,60
45,118
47,85
48,56
50,403
51,239
52,415
53,444
54,246
55,288
58,410
59,432
61,160
62,438
65,225
67,392
68,333
69,478
70,365
71,213
72,294
73,360
74,499
75,267
76,493
77,108
78,428
79,440
80,116
81,117
82,257
83,306
84,195
86,216
87,226
88,151
90,172
91,355
93,237
94,156
95,147
96,343
97,424
98,112
100,240
101,163
102,371
103,361
106,315
107,230
109,227
110,336
111,377
113,253
114,367
115,139
119,290
120,121
122,174
123,159
124,282
125,142
126,435
127,452
128,338
129,445
130,448
131,183
132,179
133,196
134,268
135,170
136,357
137,368
138,242
141,400
143,278
144,208
145,204
146,378
148,252
152,238
153,380
154,269
155,270
157,373
158,339
162,272
164,332
167,466
168,327
169,266
173,471
175,494
176,463
178,433
180,198
181,258
182,464
184,467
186,409
188,191
190,346
192,446
193,418
197,474
200,354
201,479
202,436
205,404
206,475
207,349
210,476
212,372
214,379
217,232
218,320
219,366
220,356
221,299
222,426
223,484
224,264
228,359
229,405
233,483
234,391
235,381
236,262
241,420
244,393
245,337
248,296
249,370
250,325
254,351
255,302
256,364
260,431
261,447
265,318
271,397
273,375
274,469
275,453
276,328
279,313
280,292
283,434
284,495
285,386
286,454
287,385
289,363
291,304
293,382
297,389
298,383
301,461
303,347
305,369
309,439
314,344
317,491
319,443
321,470
322,437
323,411
324,406
331,340
334,358
335,456
342,414
345,396
350,390
374,408
387,422
395,487
398,423
399,485
401,441
402,473
413,457
417,449
425,451
427,477
430,496
442,488
450,480
462,490
465,482
472,492
481,486
497,498
236
1,106
2,429
4,94
6,349
7,362
8,100
9,368
10,477
11,132
12,328
13,319
14,185
15,225
16,279
17,72
18,51
19,482
20,270
21,50
22,449
23,398
24,492
25,478
26,360
27,428
28,240
29,103
30,32
31,484
33,296
34,371
35,251
36,444
37,460
38,491
39,180
40,264
41,81
42,67
43,472
44,173
45,209
46,135
47,218
48,69
49,137
52,324
54,210
55,330
56,316
57,436
58,212
59,193
61,233
62,211
63,158
64,439
65,419
66,455
70,153
71,198
73,283
74,76
75,250
77,418
78,191
79,144
80,352
82,195
85,192
86,329
87,340
88,306
89,181
90,299
91,383
92,358
93,276
95,119
96,176
97,129
98,235
99,487
101,336
102,332
104,183
105,281
107,432
109,273
110,416
111,304
112,465
113,385
114,167
115,497
116,399
117,404
118,384
121,450
122,247
124,486
125,402
127,344
130,175
131,310
133,149
134,147
136,289
138,453
139,184
140,351
141,256
142,422
143,440
145,481
146,201
148,293
150,231
151,170
152,223
154,314
155,395
156,249
157,414
159,341
160,446
161,410
162,286
163,166
164,307
165,242
168,282
172,234
174,224
177,320
178,258
179,433
182,461
186,257
187,312
188,339
189,388
190,373
194,325
196,322
197,427
200,483
202,357
204,268
205,206
207,285
208,244
213,425
214,294
215,354
216,420
217,382
219,297
220,378
222,400
226,323
229,337
230,499
237,437
238,408
239,489
241,405
243,389
245,392
246,361
248,364
252,424
253,454
254,374
255,301
259,292
260,409
261,347
262,280
263,451
265,381
266,379
267,355
271,456
272,369
274,298
275,431
277,412
278,473
284,490
287,494
288,413
290,343
291,396
295,348
300,315
302,464
303,345
305,468
308,480
309,448
311,331
313,463
317,495
318,367
321,438
327,366
334,426
338,466
342,346
350,445
353,471
356,447
363,476
365,415
370,442
372,458
375,434
376,462
377,423
380,406
386,469
387,459
390,498
391,479
394,496
397,485
401,457
403,474
407,470
411,452
417,443
421,430
435,475
467,493
488,500
